

table: ~geofact  (^relation ^area ^value ) 

^createfact(^value ^relation ^area)
^addproperty(^area   NOUN_PROPER_SINGULAR NOUN LOCATIONWORD ALWAYS_PROPER_NAME_MERGE)

DATA:
# size in square km
population "Tuvalu" 11992
population "Republic of China" 22858872
population "Turkmenistan" 5097028
population "United Kingdom" 60776238 
population "Ukraine" 46299862
population "United States of America" 301139947
population "Republica Oriental del Uruguay" 3460607
population "Uzbekistan" 27780059
population "Saint Vincent and the Grenadines" 118149
population "Bolivarian Republic of Venezuela" 26023528
population "Wales" 3004600
population "Scotland" 5168500 
population "Vietnam" 85262356
population Vatican_City 821
population "Yemen" 22230531
# missing a bunch

# population of cities
population Tokyo 35197000
population Mexico_City 19411000
population New_York_City 18718000
population Sao_Paulo 18333000
population Jakarta 18215000
population Mumbai (Bombay) 18196000
population Delhi 15048000
population Shanghai 15503000
population Calcutta 14277000
population Buenos_Aires 12550000
population Dhaka 12430000
population Los_Angeles 12550000
population Karachi 11608000
population Rio_de_Janeiro 11469000


# GDP
GDP Palestine 1500
GDP Vatican_City 25500
GDP Scotland 39680
GDP Wales 30546 
GDP England 38000
GDP "Aruba" 21800
GDP "Antigua and Barbuda" 10900
GDP "United Arab Emirates" 49700
GDP "Afghanistan" 800
gpd "Grenada" 13600
GDP "Algeria" 7600
GDP "Azerbaijan" 7500
GDP "Albania" 5700
GDP "Armenia" 5700
GDP "Andorra" 38800
GDP "Angola" 4500
GDP "Argentina" 15200
GDP "Australia" 33300
GDP "Austria" 34700
GDP "Bahrain" 25600
GDP "Barbados" 18400
GDP "Botswana" 10900
GDP "Bermuda" 69900
GDP "Belgium" 33000
GDP "Bahamas" 21600
GDP "Bangladesh" 2300
GDP "Belize" 8400
GDP "Bosnia and Herzegovina" 5600
GDP "Bolivia" 3100
GDP "Union_of_Myanmar" 1800
GDP "Republic_of_benin" 1100
GDP "Belarus" 8100
GDP "Brazil" 8800
GDP "Kingdom_of_Bhutan" 1400
GDP "Bulgaria" 10700
GDP "Brunei Abode of Peace" 25600
GDP "Republic_of_burundi" 700
GDP "Canada" 35700
GDP "Kingdom_of_Cambodia" 2800
GDP "Republic_of_Chad" 1500
GDP "Democratic Socialist Republic of Sri Lanka" 4700
GDP "Republic of the Congo" 1400
GDP "Democratic Republic of the Congo" 700
GDP "People_'s_Republic_of_China" 7800
GDP "Chile" 12600
GDP "Cameroon" 2500
GDP "Union_of_the_Comoros" 600
GDP "Republic_of_Colombia" 8600
GDP "Costa Rica" 12500
GDP "Central African Republic" 1200
GDP "Cuba" 4100
GDP "Republic of Cape Verde" 6000
GDP "Cyprus" 23000
