# be wary of 's etc, must show the  that tokenizer would use
# there are no items in this file, only base



table: ~roles(^actor ^title)
if (! ^pos(NOUN ^title lowercaseexist))
{
	createfact(^title star ^actor)
	if (! ^pos(NOUN ^title lowercaseexist))
	{
		^addproperty(^title NOUN_TITLE)
John_Carson_Actor The_Caves_Of_Steel
Noah_Beery_Sr She_Done_Him_Wrong
Charles_Grapewin The_Good_Earth
Jimmy_Hawkins Its_A_Wonderful_Life
Ludmilla_Tcherina The_Red_Shoes
Lew_Ayres State_Fair
Ben_Affleck Chasing_Amy
Jason_Mewes Chasing_Amy
Peter_Tomarken Press_Your_Luck
John_Harlan_Announcer Press_Your_Luck
Charlie_O_Donnell Press_Your_Luck
Louis_Wolheim The_Racket
Duncan_Renaldo Trader_Horn
Irene_Rich The_Champ
Boris_Karloff Five_Star_Final
Roland_Young One_Hour_With_You
Anna_May_Wong Shanghai_Express
Miriam_Hopkins The_Smiling_Lieutenant
Guy_Kibbee Lady_For_A_Day
Miles_Mander The_Private_Life_Of_Henry_V_III
Leslie_Howard_Actor Smilin_Through
Ian_Hunter_Actor Smilin_Through
Hattie_Mc_Daniel Song_Of_The_South
Charles_Laughton The_Barretts_Of_Wimpole_Street
Alice_Brady The_Gay_Divorcee
Gloria_Stuart Here_Comes_The_Navy
Boris_Karloff The_House_Of_Rothschild
Lyle_Talbot One_Night_Of_Love
Myrna_Loy The_Thin_Man
Bessie_Love The_Broadway_Melody
Tcheky_Karyo The_Patriot
Lewis_Stone The_Big_House
Joan_Bennett Disraeli
Chester_Morris The_Divorcee
Garrison_Keillor A_Prairie_Home_Companion
Lillian_Roth The_Love_Parade
Buddy_Ebsen Broadway_Melody_Of_1936
Ross_Alexander Captain_Blood
Una_O_Connor The_Informer
Guy_Standing The_Lives_Of_A_Bengal_Lancer
Rochelle_Hudson Les_Miserables
Douglass_Dumbrille Naughty_Marietta
Basil_Rathbone David_Copperfield
Charles_Ruggles Ruggles_Of_Red_Gap
Walter_Connolly Libeled_Lady
Jean_Arthur Mr_Deeds_Goes_To_Town
Donald_Woods_Actor The_Story_Of_Louis_Pasteur
Edna_May_Oliver A_Tale_Of_Two_Cities
Ray_Milland Three_Smart_Girls
Ralph_Bellamy The_Awful_Truth
John_Howard_American_Actor Lost_Horizon
Oprah_Winfrey The_Oprah_Winfrey_Show
Alan_Hale_Sr The_Adventures_Of_Robin_Hood
Claude_Rains Four_Daughters
Erich_Von_Stroheim Grand_Illusion
Geraldine_Fitzgerald Dark_Victory
Claude_Rains Mr_Smith_Goes_To_Washington
Melvyn_Douglas Ninotchka
Baby_Le_Roy Alice_In_Wonderland
Charles_Durning The_Sting
James_Stewart_Actor The_Philadelphia_Story
Naomi_Watts The_Ring
Jack_Oakie The_Great_Dictator
Sherman_Howard Day_Of_The_Dead
Marlene_Dietrich Touch_Of_Evil
David_Schwimmer Apt_Pupil
Gary_Morton Lenny
Ray_Liotta Goodfellas
Jean_Reno The_Big_Blue
Andy_Griffith Matlock
Peter_Capaldi Neverwhere
Gaylen_Ross Dawn_Of_The_Dead
Paul_Bettany A_Knights_Tale
Embeth_Davidtz Schindlers_List
Wayne_Pygram Farscape
Peter_Tuddenham Blakes7
Rod_Serling Night_Gallery
Gene_Hackman The_Conversation
Frederic_Forrest The_Conversation
Shelley_Duvall Annie_Hall
Steven_Seagal Above_The_Law
Henry_Silva Above_The_Law
Bette_Ford Marked_For_Death
Kelly_Le_Brock Hard_To_Kill
Erika_Eleniak Under_Siege
Ed_Deacy Out_For_Justice
Kurt_Russell Executive_Decision
Steven_Seagal Executive_Decision
Michelle_Johnson_Actress The_Glimmer_Man
Steven_Seagal Fire_Down_Below
Eva_Mendes Exit_Wounds
Kurupt Half_Past_Dead
Kevin_Conway_Actor The_Outer_Limits
Harry_Morgan Strategic_Air_Command
Lee_Marvin The_Caine_Mutiny
Ann_Reinking All_That_Jazz
Robert_Morley The_African_Queen
Katharine_Hepburn Adams_Rib
